# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AT2G13110	AT2G13110	AT2G13110.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AT2G13115	AT2G13115	AT2G13115.1	pseudogene	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
AT2G13116	AT2G13116	AT2G13116.1	pseudogene	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5
AT2G13118	AT2G13118	AT2G13118.1		0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5
AT2G13120	AT2G13120	AT2G13120.1		0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	4
AT2G13125	AT2G13125	AT2G13125.1	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5
AT2G13126	AT2G13126	AT2G13126.1	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0	0	0	0	0
AT2G13128	AT2G13128	AT2G13128.1	pseudogene	0	0	0	6	0	0	0	5	0	0	0	0	0	0	0	0	1
AT2G13130	AT2G13130	AT2G13130.1	pseudogene	0	0	0	8	0	0	0	4	0	0	0	0	0	0	0	0	4
AT2G13140	AT2G13140	AT2G13140.1		0	0	0	5	0	0	0	4	0	0	0	0	0	0	0	0	1
AT2G13142	AT2G13142	AT2G13142.1		0	0	0	5	0	0	0	1	0	0	3	0	0	0	0	0	1
AT2G13143	AT2G13143	AT2G13143.1		0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	4
AT2G13145	AT2G13145	AT2G13145.1	pseudogene	0	0	0	6	0	0	0	2	0	0	0	0	0	0	0	0	4
AT2G13146	AT2G13146	AT2G13146.1	pseudogene	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	1
AT2G13150	AT2G13150	AT2G13150.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
AT2G13170	AT2G13170	AT2G13170.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G13175	AT2G13175	AT2G13175.1		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
AT2G13190	AT2G13190	AT2G13190.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G13200	AT2G13200	AT2G13200.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G13230	AT2G13230	AT2G13230.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G13310	AT2G13310	AT2G13310.1		0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4
AT2G13320	AT2G13320	AT2G13320.1		0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0
AT2G13330	AT2G13330	AT2G13330.1		0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0
AT2G13335	AT2G13335	AT2G13335.1		0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0
AT2G13380	AT2G13380	AT2G13380.1		0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
AT2G13410	AT2G13410	AT2G13410.1	pseudogene	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0
AT2G13420	AT2G13420	AT2G13420.1	pseudogene	0	0	0	6	0	0	0	4	0	0	0	0	0	0	0	0	2
AT2G13422	AT2G13422	AT2G13422.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
AT2G13430	AT2G13430	AT2G13430.1	protein_coding	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1
AT2G13431	AT2G13431	AT2G13431.1		0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0
AT2G13440	AT2G13440	AT2G13440.1	protein_coding	0	0	1	2	0	0	0	2	0	1	0	0	0	0	0	0	0
AT2G13450	AT2G13450	AT2G13450.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AT2G13460	AT2G13460	AT2G13460.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AT2G13469	AT2G13469	AT2G13469.1	pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G13470	AT2G13470	AT2G13470.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G13480	AT2G13480	AT2G13480.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AT2G13490	AT2G13490	AT2G13490.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G13580	AT2G13580	AT2G13580.1	pseudogene	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AT2G13710	AT2G13710	AT2G13710.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G13720	AT2G13720	AT2G13720.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AT2G13730	AT2G13730	AT2G13730.1		0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
AT2G13740	AT2G13740	AT2G13740.1		0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	1
AT2G13750	AT2G13750	AT2G13750.1		0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	1
AT2G13760	AT2G13760	AT2G13760.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
AT2G13990	AT2G13990	AT2G13990.1		0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0
AT2G14000	AT2G14000	AT2G14000.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G14010	AT2G14010	AT2G14010.1		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
AT2G14020	AT2G14020	AT2G14020.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AT2G14030	AT2G14030	AT2G14030.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AT2G14190	AT2G14190	AT2G14190.1		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
AT2G14200	AT2G14200	AT2G14200.1		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
AT2G14350	AT2G14350	AT2G14350.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G14400	AT2G14400	AT2G14400.1		0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0
AT2G14405	AT2G14405	AT2G14405.1	pseudogene	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0
AT2G14410	AT2G14410	AT2G14410.1	pseudogene	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0
AT2G14430	AT2G14430	AT2G14430.1		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
AT2G14440	AT2G14440	AT2G14440.1	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1
AT2G14450	AT2G14450	AT2G14450.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G14455	AT2G14455	AT2G14455.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G14460	AT2G14460	AT2G14460.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AT2G14535	AT2G14535	AT2G14535.1		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
AT2G14570	AT2G14570	AT2G14570.1		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
AT2G14595	AT2G14595	AT2G14595.1		0	0	0	5	0	0	0	5	0	0	0	0	0	0	0	0	0
AT2G14600	AT2G14600	AT2G14600.1		0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5
AT2G14605	AT2G14605	AT2G14605.1		0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5
AT2G14793	AT2G14793	AT2G14793.1		0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
AT2G14796	AT2G14796	AT2G14796.1		0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	2
AT2G14800	AT2G14800	AT2G14800.1	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
AT2G14810	AT2G14810	AT2G14810.1	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0
AT2G14830	AT2G14830	AT2G14830.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AT2G14830	AT2G14830	AT2G14830.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AT2G14835	AT2G14835	AT2G14835.1	protein_coding	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	1
AT2G14835	AT2G14835	AT2G14835.2	protein_coding	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	1
AT2G14840	AT2G14840	AT2G14840.1	pseudogene	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0
AT2G14870	AT2G14870	AT2G14870.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AT2G14878	AT2G14878	AT2G14878.1	lincRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AT2G14880	AT2G14880	AT2G14880.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G14910	AT2G14910	AT2G14910.1	protein_coding	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	5
AT2G14910	AT2G14910	AT2G14910.2	protein_coding	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	5
AT2G14930	AT2G14930	AT2G14930.1		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
AT2G14950	AT2G14950	AT2G14950.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G14980	AT2G14980	AT2G14980.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G15100	AT2G15100	AT2G15100.1		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
AT2G15110	AT2G15110	AT2G15110.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
AT2G15210	AT2G15210	AT2G15210.1		0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
AT2G15220	AT2G15220	AT2G15220.1	protein_coding	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0
AT2G15240	AT2G15240	AT2G15240.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AT2G15260	AT2G15260	AT2G15260.1	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
AT2G15270	AT2G15270	AT2G15270.1	protein_coding	0	0	0	6	0	0	0	3	0	0	0	0	0	0	0	0	3
AT2G15271	AT2G15271	AT2G15271.1	pseudogene	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
AT2G15292	AT2G15292	AT2G15292.1	lincRNA	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0
AT2G15380	AT2G15380	AT2G15380.1		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
AT2G15510	AT2G15510	AT2G15510.1		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
AT2G15520	AT2G15520	AT2G15520.1		0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
AT2G15540	AT2G15540	AT2G15540.1		0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0
AT2G15550	AT2G15550	AT2G15550.1		0	0	0	9	0	0	0	4	0	0	0	0	0	0	0	0	5
AT2G15555	AT2G15555	AT2G15555.1	lincRNA	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5
AT2G15560	AT2G15560	AT2G15560.1	protein_coding	0	3	2	0	0	0	0	0	0	2	0	0	0	0	0	3	0
AT2G16015	AT2G16015	AT2G16015.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AT2G16016	AT2G16016	AT2G16016.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G16018	AT2G16018	AT2G16018.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
AT2G16019	AT2G16019	AT2G16019.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G16020	AT2G16020	AT2G16020.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G16030	AT2G16030	AT2G16030.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AT2G16040	AT2G16040	AT2G16040.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G16230	AT2G16230	AT2G16230.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
AT2G16240	AT2G16240	AT2G16240.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
AT2G16245	AT2G16245	AT2G16245.1	lincRNA	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
AT2G16250	AT2G16250	AT2G16250.1	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
AT2G16405	AT2G16405	AT2G16405.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G16410	AT2G16410	AT2G16410.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G16520	AT2G16520	AT2G16520.1	protein_coding	0	0	0	6	0	0	0	4	0	0	0	0	0	0	0	0	2
AT2G16530	AT2G16530	AT2G16530.1	protein_coding	0	0	0	6	0	0	2	4	0	0	0	0	0	0	0	0	0
AT2G16530	AT2G16530	AT2G16530.2	protein_coding	0	0	0	6	0	0	0	4	0	0	0	0	0	0	0	0	2
AT2G16575	AT2G16575	AT2G16575.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
AT2G16580	AT2G16580	AT2G16580.1	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
AT2G16594	AT2G16594	AT2G16594.1	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0
AT2G16595	AT2G16595	AT2G16595.1	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0
AT2G16610	AT2G16610	AT2G16610.1		0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0
AT2G16620	AT2G16620	AT2G16620.1	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0
AT2G16860	AT2G16860	AT2G16860.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
AT2G16870	AT2G16870	AT2G16870.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AT2G16930	AT2G16930	AT2G16930.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G16930	AT2G16930	AT2G16930.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G16930	AT2G16930	AT2G16930.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G16940	AT2G16940	AT2G16940.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AT2G16940	AT2G16940	AT2G16940.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AT2G16940	AT2G16940	AT2G16940.3	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AT2G16990	AT2G16990	AT2G16990.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AT2G16990	AT2G16990	AT2G16990.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AT2G17010	AT2G17010	AT2G17010.1	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1
AT2G17033	AT2G17033	AT2G17033.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G17033	AT2G17033	AT2G17033.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G17036	AT2G17036	AT2G17036.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G17043	AT2G17043	AT2G17043.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AT2G17050	AT2G17050	AT2G17050.1	protein_coding	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1
AT2G17055	AT2G17055	AT2G17055.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
AT2G17500	AT2G17500	AT2G17500.1	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
AT2G17500	AT2G17500	AT2G17500.2	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
AT2G17500	AT2G17500	AT2G17500.3	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
AT2G17500	AT2G17500	AT2G17500.4	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
AT2G17723	AT2G17723	AT2G17723.1	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0	0	0	0	0
AT2G17740	AT2G17740	AT2G17740.1	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0	0	0	0	0
AT2G17760	AT2G17760	AT2G17760.1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
AT2G17810	AT2G17810	AT2G17810.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G18110	AT2G18110	AT2G18110.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AT2G18115	AT2G18115	AT2G18115.1	pseudogene	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AT2G18465	AT2G18465	AT2G18465.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G18520	AT2G18520	AT2G18520.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AT2G18610	AT2G18610	AT2G18610.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G18620	AT2G18620	AT2G18620.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AT2G18630	AT2G18630	AT2G18630.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G18735	AT2G18735	AT2G18735.1	lincRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AT2G18740	AT2G18740	AT2G18740.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G18740	AT2G18740	AT2G18740.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G18770	AT2G18770	AT2G18770.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G18890	AT2G18890	AT2G18890.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AT2G18890	AT2G18890	AT2G18890.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AT2G18900	AT2G18900	AT2G18900.1	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AT2G18910	AT2G18910	AT2G18910.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AT2G19050	AT2G19050	AT2G19050.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AT2G19060	AT2G19060	AT2G19060.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G19180	AT2G19180	AT2G19180.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G19210	AT2G19210	AT2G19210.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G19220	AT2G19220	AT2G19220.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AT2G19230	AT2G19230	AT2G19230.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AT2G19390	AT2G19390	AT2G19390.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G19400	AT2G19400	AT2G19400.1	protein_coding	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
AT2G19582	AT2G19582	AT2G19582.1	lincRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AT2G19610	AT2G19610	AT2G19610.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G19610	AT2G19610	AT2G19610.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G19802	AT2G19802	AT2G19802.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
AT2G19803	AT2G19803	AT2G19803.1		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
AT2G19806	AT2G19806	AT2G19806.1		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
AT2G20142	AT2G20142	AT2G20142.1	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0
AT2G20150	AT2G20150	AT2G20150.1	protein_coding	0	0	1	2	2	0	0	0	0	1	0	0	0	0	0	0	0
AT2G20170	AT2G20170	AT2G20170.1	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
AT2G20170	AT2G20170	AT2G20170.2	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
AT2G20170	AT2G20170	AT2G20170.3	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
AT2G20210	AT2G20210	AT2G20210.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AT2G20360	AT2G20360	AT2G20360.1	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1
AT2G20362	AT2G20362	AT2G20362.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AT2G20380	AT2G20380	AT2G20380.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AT2G20390	AT2G20390	AT2G20390.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AT2G20390	AT2G20390	AT2G20390.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AT2G20400	AT2G20400	AT2G20400.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G20410	AT2G20410	AT2G20410.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
AT2G20420	AT2G20420	AT2G20420.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
AT2G20440	AT2G20440	AT2G20440.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
AT2G20440	AT2G20440	AT2G20440.2	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
AT2G20463	AT2G20463	AT2G20463.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G20465	AT2G20465	AT2G20465.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G20470	AT2G20470	AT2G20470.1	protein_coding	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
AT2G20480	AT2G20480	AT2G20480.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AT2G20724	AT2G20724	AT2G20724.1	pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G20725	AT2G20725	AT2G20725.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G20760	AT2G20760	AT2G20760.1	protein_coding	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	1
AT2G20784	AT2G20784	AT2G20784.1	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1
AT2G20805	AT2G20805	AT2G20805.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G20816	AT2G20816	AT2G20816.1	pseudogene	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AT2G20818	AT2G20818	AT2G20818.1	pseudogene	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
AT2G20820	AT2G20820	AT2G20820.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
AT2G20820	AT2G20820	AT2G20820.2	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
AT2G20830	AT2G20830	AT2G20830.1	protein_coding	0	0	0	4	0	0	0	1	1	0	0	0	0	0	0	0	2
AT2G20830	AT2G20830	AT2G20830.2	protein_coding	0	0	0	4	0	0	0	1	1	0	0	0	0	0	0	0	2
AT2G20830	AT2G20830	AT2G20830.3	protein_coding	0	0	0	4	0	0	0	1	1	0	0	0	0	0	0	0	2
AT2G20835	AT2G20835	AT2G20835.1	protein_coding	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	2
AT2G20910	AT2G20910	AT2G20910.1	pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G20920	AT2G20920	AT2G20920.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G20921	AT2G20921	AT2G20921.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AT2G20930	AT2G20930	AT2G20930.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AT2G20940	AT2G20940	AT2G20940.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AT2G20970	AT2G20970	AT2G20970.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AT2G20970	AT2G20970	AT2G20970.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AT2G21010	AT2G21010	AT2G21010.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AT2G21020	AT2G21020	AT2G21020.1	pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G21030	AT2G21030	AT2G21030.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G21040	AT2G21040	AT2G21040.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
AT2G21080	AT2G21080	AT2G21080.1	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
AT2G21160	AT2G21160	AT2G21160.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
AT2G21160	AT2G21160	AT2G21160.2	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
AT2G21172	AT2G21172	AT2G21172.1	pseudogene	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1
